image_id,document_id,person_id,split,doc_type,forgery_category,control_index,label,quality_tier,template_variant,naming_stratum,pan_fifth_source,forgery_field,forgery_detail,c1_op,c1_field,rule_gt_verdict,rule_ocr_verdict,expected_rule,width,height,jpeg_q_capture,phash,file
P000000_aadhaar_C2_mild,P000000_aadhaar_C2,P000000,train,aadhaar,C2,,1,mild,2,surname_last,surname,aadhaar_number,verhoeff_break,,,FAIL,FAIL,FAIL,884,558,79,13766202643591492239,images/train/aadhaar/P000000_aadhaar_C2_mild.jpg
P000000_aadhaar_C2_severe,P000000_aadhaar_C2,P000000,train,aadhaar,C2,,1,severe,2,surname_last,surname,aadhaar_number,verhoeff_break,,,FAIL,FAIL,FAIL,582,367,64,11460359634412425871,images/train/aadhaar/P000000_aadhaar_C2_severe.jpg
P000000_aadhaar_C3_clean,P000000_aadhaar_C3,P000000,train,aadhaar,C3,,1,clean,2,surname_last,surname,name_devanagari,script_mismatch (no implemented Aadhaar semantic rule; expected rule-branch miss),,,PASS,PASS,PASS,958,604,94,11460368396144636559,images/train/aadhaar/P000000_aadhaar_C3_clean.jpg
P000000_aadhaar_C3_mild,P000000_aadhaar_C3,P000000,train,aadhaar,C3,,1,mild,2,surname_last,surname,name_devanagari,script_mismatch (no implemented Aadhaar semantic rule; expected rule-branch miss),,,PASS,PASS,PASS,899,567,77,11460359565693973135,images/train/aadhaar/P000000_aadhaar_C3_mild.jpg
P000000_aadhaar_C3_severe,P000000_aadhaar_C3,P000000,train,aadhaar,C3,,1,severe,2,surname_last,surname,name_devanagari,script_mismatch (no implemented Aadhaar semantic rule; expected rule-branch miss),,,PASS,PASS,PASS,687,433,50,11190143639589397167,images/train/aadhaar/P000000_aadhaar_C3_severe.jpg
P000000_aadhaar_C4_clean,P000000_aadhaar_C4,P000000,train,aadhaar,C4,,1,clean,2,surname_last,surname,aadhaar_number,"fabricated payload, valid check digit",,,PASS,PASS,PASS,955,602,90,11460368396144636559,images/train/aadhaar/P000000_aadhaar_C4_clean.jpg
P000000_aadhaar_C4_mild,P000000_aadhaar_C4,P000000,train,aadhaar,C4,,1,mild,2,surname_last,surname,aadhaar_number,"fabricated payload, valid check digit",,,PASS,PASS,PASS,729,459,85,13766202643626087055,images/train/aadhaar/P000000_aadhaar_C4_mild.jpg
P000000_aadhaar_C4_severe,P000000_aadhaar_C4,P000000,train,aadhaar,C4,,1,severe,2,surname_last,surname,aadhaar_number,"fabricated payload, valid check digit",,,PASS,PASS,PASS,571,360,49,16072045566940476047,images/train/aadhaar/P000000_aadhaar_C4_severe.jpg
P000000_pan_C00_clean,P000000_pan_C00,P000000,train,pan,C0,0,0,clean,2,surname_last,surname,,,,,PASS,PASS,PASS,942,594,94,11114150825069730493,images/train/pan/P000000_pan_C00_clean.jpg
P000000_pan_C00_mild,P000000_pan_C00,P000000,train,pan,C0,0,0,mild,2,surname_last,surname,,,,,PASS,PASS,PASS,905,571,85,15725836844167862973,images/train/pan/P000000_pan_C00_mild.jpg
P000000_pan_C00_severe,P000000_pan_C00,P000000,train,pan,C0,0,0,severe,2,surname_last,surname,,,,,PASS,PASS,PASS,511,322,59,13420011427140209341,images/train/pan/P000000_pan_C00_severe.jpg
P000000_pan_C01_clean,P000000_pan_C01,P000000,train,pan,C0,1,0,clean,2,surname_last,surname,,,,,PASS,PASS,PASS,934,589,94,11114150825069730493,images/train/pan/P000000_pan_C01_clean.jpg
P000000_pan_C01_mild,P000000_pan_C01,P000000,train,pan,C0,1,0,mild,2,surname_last,surname,,,,,PASS,PASS,PASS,822,518,76,15725836809271335613,images/train/pan/P000000_pan_C01_mild.jpg
P000000_pan_C01_severe,P000000_pan_C01,P000000,train,pan,C0,1,0,severe,2,surname_last,surname,,,,,PASS,PASS,PASS,662,417,52,15725836844100770493,images/train/pan/P000000_pan_C01_severe.jpg
P000000_pan_C1_clean,P000000_pan_C1,P000000,train,pan,C1,,1,clean,2,surname_last,surname,,,local_recompression,pan_number,PASS,PASS,PASS,945,596,91,15725836809673988797,images/train/pan/P000000_pan_C1_clean.jpg
P000000_pan_C1_mild,P000000_pan_C1,P000000,train,pan,C1,,1,mild,2,surname_last,surname,,,local_recompression,pan_number,PASS,PASS,PASS,710,447,71,11109647225979230909,images/train/pan/P000000_pan_C1_mild.jpg
P000000_pan_C1_severe,P000000_pan_C1,P000000,train,pan,C1,,1,severe,2,surname_last,surname,,,local_recompression,pan_number,PASS,FAIL,PASS,525,331,49,11132165224149293757,images/train/pan/P000000_pan_C1_severe.jpg
P000000_pan_C2_clean,P000000_pan_C2,P000000,train,pan,C2,,1,clean,2,surname_last,surname,pan_number,category,,,FAIL,FAIL,FAIL,965,608,96,15725836809640434365,images/train/pan/P000000_pan_C2_clean.jpg
P000000_pan_C2_mild,P000000_pan_C2,P000000,train,pan,C2,,1,mild,2,surname_last,surname,pan_number,category,,,FAIL,FAIL,FAIL,851,537,73,11114150859395914429,images/train/pan/P000000_pan_C2_mild.jpg
P000000_pan_C2_severe,P000000_pan_C2,P000000,train,pan,C2,,1,severe,2,surname_last,surname,pan_number,category,,,FAIL,FAIL,FAIL,595,375,47,11132165223075617469,images/train/pan/P000000_pan_C2_severe.jpg
P000000_pan_C3_clean,P000000_pan_C3,P000000,train,pan,C3,,1,clean,2,surname_last,surname,pan_number,"p5 K->O, name initials {K}",,,FAIL,FAIL,FAIL,963,607,96,15725836843496856253,images/train/pan/P000000_pan_C3_clean.jpg
P000000_pan_C3_mild,P000000_pan_C3,P000000,train,pan,C3,,1,mild,2,surname_last,surname,pan_number,"p5 K->O, name initials {K}",,,FAIL,FAIL,FAIL,709,447,77,15725766475222702781,images/train/pan/P000000_pan_C3_mild.jpg
P000000_pan_C3_severe,P000000_pan_C3,P000000,train,pan,C3,,1,severe,2,surname_last,surname,pan_number,"p5 K->O, name initials {K}",,,FAIL,FAIL,FAIL,589,372,58,11114150825136839357,images/train/pan/P000000_pan_C3_severe.jpg
P000000_pan_C4_clean,P000000_pan_C4,P000000,train,pan,C4,,1,clean,2,surname_last,surname,pan_number,"fabricated identifier, valid format, category and cross-field consistency",,,PASS,PASS,PASS,948,598,92,11114150790743546557,images/train/pan/P000000_pan_C4_clean.jpg
P000000_pan_C4_mild,P000000_pan_C4,P000000,train,pan,C4,,1,mild,2,surname_last,surname,pan_number,"fabricated identifier, valid format, category and cross-field consistency",,,PASS,PASS,PASS,855,539,80,15725836843463301821,images/train/pan/P000000_pan_C4_mild.jpg
P000000_pan_C4_severe,P000000_pan_C4,P000000,train,pan,C4,,1,severe,2,surname_last,surname,pan_number,"fabricated identifier, valid format, category and cross-field consistency",,,PASS,PASS,PASS,694,438,64,15725766474853341885,images/train/pan/P000000_pan_C4_severe.jpg
P000001_aadhaar_C00_clean,P000001_aadhaar_C00,P000001,train,aadhaar,C0,0,0,clean,2,initial_first,given_name,,,,,PASS,PASS,PASS,1007,635,96,11460359600051810447,images/train/aadhaar/P000001_aadhaar_C00_clean.jpg
P000001_aadhaar_C00_mild,P000001_aadhaar_C00,P000001,train,aadhaar,C0,0,0,mild,2,initial_first,given_name,,,,,PASS,PASS,PASS,843,531,70,11461485499959005327,images/train/aadhaar/P000001_aadhaar_C00_mild.jpg
P000001_aadhaar_C00_severe,P000001_aadhaar_C00,P000001,train,aadhaar,C0,0,0,severe,2,initial_first,given_name,,,,,PASS,PASS,PASS,513,323,56,16072045618480599183,images/train/aadhaar/P000001_aadhaar_C00_severe.jpg
P000001_aadhaar_C01_clean,P000001_aadhaar_C01,P000001,train,aadhaar,C0,1,0,clean,2,initial_first,given_name,,,,,PASS,PASS,PASS,1011,638,96,11460359600051777679,images/train/aadhaar/P000001_aadhaar_C01_clean.jpg
P000001_aadhaar_C01_mild,P000001_aadhaar_C01,P000001,train,aadhaar,C0,1,0,mild,2,initial_first,given_name,,,,,PASS,PASS,PASS,803,506,83,11461485499958120591,images/train/aadhaar/P000001_aadhaar_C01_mild.jpg
P000001_aadhaar_C01_severe,P000001_aadhaar_C01,P000001,train,aadhaar,C0,1,0,severe,2,initial_first,given_name,,,,,PASS,PASS,PASS,703,443,49,11478374015736406191,images/train/aadhaar/P000001_aadhaar_C01_severe.jpg
P000001_aadhaar_C1_clean,P000001_aadhaar_C1,P000001,train,aadhaar,C1,,1,clean,2,initial_first,given_name,,,resample_patch,gender,PASS,PASS,PASS,957,603,90,11460359600051810447,images/train/aadhaar/P000001_aadhaar_C1_clean.jpg
P000001_aadhaar_C1_mild,P000001_aadhaar_C1,P000001,train,aadhaar,C1,,1,mild,2,initial_first,given_name,,,resample_patch,gender,PASS,PASS,PASS,845,533,72,11460359600051245231,images/train/aadhaar/P000001_aadhaar_C1_mild.jpg
P000001_aadhaar_C1_severe,P000001_aadhaar_C1,P000001,train,aadhaar,C1,,1,severe,2,initial_first,given_name,,,resample_patch,gender,PASS,PASS,PASS,623,393,60,11479499881284542639,images/train/aadhaar/P000001_aadhaar_C1_severe.jpg
P000001_aadhaar_C2_clean,P000001_aadhaar_C2,P000001,train,aadhaar,C2,,1,clean,2,initial_first,given_name,aadhaar_number,verhoeff_break,,,FAIL,FAIL,FAIL,958,604,96,11460359600051810447,images/train/aadhaar/P000001_aadhaar_C2_clean.jpg
P000001_aadhaar_C2_mild,P000001_aadhaar_C2,P000001,train,aadhaar,C2,,1,mild,2,initial_first,given_name,aadhaar_number,verhoeff_break,,,FAIL,FAIL,FAIL,900,567,78,16072045618478665871,images/train/aadhaar/P000001_aadhaar_C2_mild.jpg
P000001_aadhaar_C2_severe,P000001_aadhaar_C2,P000001,train,aadhaar,C2,,1,severe,2,initial_first,given_name,aadhaar_number,verhoeff_break,,,FAIL,FAIL,FAIL,609,384,64,11478373981380858031,images/train/aadhaar/P000001_aadhaar_C2_severe.jpg
P000001_aadhaar_C3_clean,P000001_aadhaar_C3,P000001,train,aadhaar,C3,,1,clean,2,initial_first,given_name,name_devanagari,script_mismatch (no implemented Aadhaar semantic rule; expected rule-branch miss),,,PASS,PASS,PASS,957,603,94,11460359600050991247,images/train/aadhaar/P000001_aadhaar_C3_clean.jpg
P000001_aadhaar_C3_mild,P000001_aadhaar_C3,P000001,train,aadhaar,C3,,1,mild,2,initial_first,given_name,name_devanagari,script_mismatch (no implemented Aadhaar semantic rule; expected rule-branch miss),,,PASS,PASS,PASS,849,535,74,16072045618478600367,images/train/aadhaar/P000001_aadhaar_C3_mild.jpg
P000001_aadhaar_C3_severe,P000001_aadhaar_C3,P000001,train,aadhaar,C3,,1,severe,2,initial_first,given_name,name_devanagari,script_mismatch (no implemented Aadhaar semantic rule; expected rule-branch miss),,,PASS,PASS,PASS,619,390,62,16072045618478502063,images/train/aadhaar/P000001_aadhaar_C3_severe.jpg
P000001_aadhaar_C4_clean,P000001_aadhaar_C4,P000001,train,aadhaar,C4,,1,clean,2,initial_first,given_name,aadhaar_number,"fabricated payload, valid check digit",,,PASS,PASS,PASS,974,614,96,11460359600051810447,images/train/aadhaar/P000001_aadhaar_C4_clean.jpg
P000001_aadhaar_C4_mild,P000001_aadhaar_C4,P000001,train,aadhaar,C4,,1,mild,2,initial_first,given_name,aadhaar_number,"fabricated payload, valid check digit",,,PASS,PASS,PASS,737,465,84,11460359600051769519,images/train/aadhaar/P000001_aadhaar_C4_mild.jpg
P000001_aadhaar_C4_severe,P000001_aadhaar_C4,P000001,train,aadhaar,C4,,1,severe,2,initial_first,given_name,aadhaar_number,"fabricated payload, valid check digit",,,PASS,PASS,PASS,515,325,64,11460359582871908527,images/train/aadhaar/P000001_aadhaar_C4_severe.jpg
P000001_pan_C00_clean,P000001_pan_C00,P000001,train,pan,C0,0,0,clean,2,initial_first,given_name,,,,,PASS,PASS,PASS,975,615,96,15725766509079124669,images/train/pan/P000001_pan_C00_clean.jpg
P000001_pan_C00_mild,P000001_pan_C00,P000001,train,pan,C0,0,0,mild,2,initial_first,given_name,,,,,PASS,PASS,PASS,789,497,73,11132165223545641661,images/train/pan/P000001_pan_C00_mild.jpg
P000001_pan_C00_severe,P000001_pan_C00,P000001,train,pan,C0,0,0,severe,2,initial_first,given_name,,,,,PASS,PASS,PASS,551,347,45,15725766475390196413,images/train/pan/P000001_pan_C00_severe.jpg
P000001_pan_C01_clean,P000001_pan_C01,P000001,train,pan,C0,1,0,clean,2,initial_first,given_name,,,,,PASS,PASS,PASS,947,597,94,15725766509079124669,images/train/pan/P000001_pan_C01_clean.jpg
P000001_pan_C01_mild,P000001_pan_C01,P000001,train,pan,C0,1,0,mild,2,initial_first,given_name,,,,,PASS,PASS,PASS,895,564,80,15725766509079124669,images/train/pan/P000001_pan_C01_mild.jpg
P000001_pan_C01_severe,P000001_pan_C01,P000001,train,pan,C0,1,0,severe,2,initial_first,given_name,,,,,PASS,PASS,PASS,705,444,65,15725766474719386301,images/train/pan/P000001_pan_C01_severe.jpg
P000001_pan_C1_clean,P000001_pan_C1,P000001,train,pan,C1,,1,clean,2,initial_first,given_name,,,patch_splice,background,PASS,PASS,PASS,977,616,95,9956664286273407933,images/train/pan/P000001_pan_C1_clean.jpg
P000001_pan_C1_mild,P000001_pan_C1,P000001,train,pan,C1,,1,mild,2,initial_first,given_name,,,patch_splice,background,PASS,PASS,PASS,906,571,73,9956664286273411773,images/train/pan/P000001_pan_C1_mild.jpg
P000001_pan_C1_severe,P000001_pan_C1,P000001,train,pan,C1,,1,severe,2,initial_first,given_name,,,patch_splice,background,PASS,PASS,PASS,621,391,58,15721271671734475453,images/train/pan/P000001_pan_C1_severe.jpg
P000001_pan_C2_clean,P000001_pan_C2,P000001,train,pan,C2,,1,clean,2,initial_first,given_name,pan_number,format_length,,,FAIL,FAIL,FAIL,974,614,93,11114080525011475133,images/train/pan/P000001_pan_C2_clean.jpg
P000001_pan_C2_mild,P000001_pan_C2,P000001,train,pan,C2,,1,mild,2,initial_first,given_name,pan_number,format_length,,,FAIL,FAIL,FAIL,908,572,78,15716776833827822269,images/train/pan/P000001_pan_C2_mild.jpg
P000001_pan_C2_severe,P000001_pan_C2,P000001,train,pan,C2,,1,severe,2,initial_first,given_name,pan_number,format_length,,,FAIL,FAIL,FAIL,618,389,51,11114080525011475133,images/train/pan/P000001_pan_C2_severe.jpg
P000001_pan_C3_clean,P000001_pan_C3,P000001,train,pan,C3,,1,clean,2,initial_first,given_name,pan_number,"p5 S->L, name initials {M,S}",,,FAIL,FAIL,FAIL,983,620,95,15725766509079124669,images/train/pan/P000001_pan_C3_clean.jpg
P000001_pan_C3_mild,P000001_pan_C3,P000001,train,pan,C3,,1,mild,2,initial_first,given_name,pan_number,"p5 S->L, name initials {M,S}",,,FAIL,FAIL,FAIL,866,546,80,15725766474719386301,images/train/pan/P000001_pan_C3_mild.jpg
P000001_pan_C3_severe,P000001_pan_C3,P000001,train,pan,C3,,1,severe,2,initial_first,given_name,pan_number,"p5 S->L, name initials {M,S}",,,FAIL,FAIL,FAIL,570,359,58,11114080490651736829,images/train/pan/P000001_pan_C3_severe.jpg
P000001_pan_C4_clean,P000001_pan_C4,P000001,train,pan,C4,,1,clean,2,initial_first,given_name,pan_number,"fabricated identifier, valid format, category and cross-field consistency",,,PASS,PASS,PASS,987,622,93,15725766474719386301,images/train/pan/P000001_pan_C4_clean.jpg
P000001_pan_C4_mild,P000001_pan_C4,P000001,train,pan,C4,,1,mild,2,initial_first,given_name,pan_number,"fabricated identifier, valid format, category and cross-field consistency",,,PASS,PASS,PASS,850,536,74,15725766474719386301,images/train/pan/P000001_pan_C4_mild.jpg
P000001_pan_C4_severe,P000001_pan_C4,P000001,train,pan,C4,,1,severe,2,initial_first,given_name,pan_number,"fabricated identifier, valid format, category and cross-field consistency",,,PASS,PASS,PASS,593,374,57,15743851241968835261,images/train/pan/P000001_pan_C4_severe.jpg
P000002_aadhaar_C00_clean,P000002_aadhaar_C00,P000002,train,aadhaar,C0,0,0,clean,0,mononymic,mononym,,,,,PASS,PASS,PASS,1009,636,91,11461503074967246863,images/train/aadhaar/P000002_aadhaar_C00_clean.jpg
P000002_aadhaar_C00_mild,P000002_aadhaar_C00,P000002,train,aadhaar,C0,0,0,mild,0,mononymic,mononym,,,,,PASS,PASS,PASS,732,461,73,11461503074967246863,images/train/aadhaar/P000002_aadhaar_C00_mild.jpg
P000002_aadhaar_C00_severe,P000002_aadhaar_C00,P000002,train,aadhaar,C0,0,0,severe,0,mononymic,mononym,,,,,PASS,FAIL,PASS,525,331,61,10308001079760541839,images/train/aadhaar/P000002_aadhaar_C00_severe.jpg
P000002_aadhaar_C01_clean,P000002_aadhaar_C01,P000002,train,aadhaar,C0,1,0,clean,0,mononymic,mononym,,,,,PASS,PASS,PASS,1012,638,94,11461503074966853647,images/train/aadhaar/P000002_aadhaar_C01_clean.jpg
P000002_aadhaar_C01_mild,P000002_aadhaar_C01,P000002,train,aadhaar,C0,1,0,mild,0,mononymic,mononym,,,,,PASS,PASS,PASS,742,468,80,11461485499961071631,images/train/aadhaar/P000002_aadhaar_C01_mild.jpg
P000002_aadhaar_C01_severe,P000002_aadhaar_C01,P000002,train,aadhaar,C0,1,0,severe,0,mononymic,mononym,,,,,PASS,PASS,PASS,698,440,60,11461485517140023311,images/train/aadhaar/P000002_aadhaar_C01_severe.jpg
P000002_aadhaar_C1_clean,P000002_aadhaar_C1,P000002,train,aadhaar,C1,,1,clean,0,mononymic,mononym,,,font_substitution,name,PASS,PASS,PASS,969,611,95,11461503074966853647,images/train/aadhaar/P000002_aadhaar_C1_clean.jpg
P000002_aadhaar_C1_mild,P000002_aadhaar_C1,P000002,train,aadhaar,C1,,1,mild,0,mononymic,mononym,,,font_substitution,name,PASS,PASS,PASS,817,515,75,10308581587540269071,images/train/aadhaar/P000002_aadhaar_C1_mild.jpg
P000002_aadhaar_C1_severe,P000002_aadhaar_C1,P000002,train,aadhaar,C1,,1,severe,0,mononymic,mononym,,,font_substitution,name,PASS,PASS,PASS,628,396,60,16073189093394110479,images/train/aadhaar/P000002_aadhaar_C1_severe.jpg
P000002_aadhaar_C2_clean,P000002_aadhaar_C2,P000002,train,aadhaar,C2,,1,clean,0,mononymic,mononym,aadhaar_number,verhoeff_break,,,FAIL,FAIL,FAIL,979,617,94,11461503074966853647,images/train/aadhaar/P000002_aadhaar_C2_clean.jpg
P000002_aadhaar_C2_mild,P000002_aadhaar_C2,P000002,train,aadhaar,C2,,1,mild,0,mononymic,mononym,aadhaar_number,verhoeff_break,,,FAIL,FAIL,FAIL,793,500,73,10308581570360006799,images/train/aadhaar/P000002_aadhaar_C2_mild.jpg
P000002_aadhaar_C2_severe,P000002_aadhaar_C2,P000002,train,aadhaar,C2,,1,severe,0,mononymic,mononym,aadhaar_number,verhoeff_break,,,FAIL,FAIL,FAIL,518,327,47,16073189016082643087,images/train/aadhaar/P000002_aadhaar_C2_severe.jpg
P000002_aadhaar_C3_clean,P000002_aadhaar_C3,P000002,train,aadhaar,C3,,1,clean,0,mononymic,mononym,name_devanagari,script_mismatch (no implemented Aadhaar semantic rule; expected rule-branch miss),,,PASS,PASS,PASS,997,628,92,11461503074965018639,images/train/aadhaar/P000002_aadhaar_C3_clean.jpg
P000002_aadhaar_C3_mild,P000002_aadhaar_C3,P000002,train,aadhaar,C3,,1,mild,0,mononymic,mononym,name_devanagari,script_mismatch (no implemented Aadhaar semantic rule; expected rule-branch miss),,,PASS,PASS,PASS,786,496,84,16073189093392144399,images/train/aadhaar/P000002_aadhaar_C3_mild.jpg
P000002_aadhaar_C3_severe,P000002_aadhaar_C3,P000002,train,aadhaar,C3,,1,severe,0,mononymic,mononym,name_devanagari,script_mismatch (no implemented Aadhaar semantic rule; expected rule-branch miss),,,PASS,PASS,PASS,602,380,61,10308590383632240783,images/train/aadhaar/P000002_aadhaar_C3_severe.jpg
P000002_aadhaar_C4_clean,P000002_aadhaar_C4,P000002,train,aadhaar,C4,,1,clean,0,mononymic,mononym,aadhaar_number,"fabricated payload, valid check digit",,,PASS,PASS,PASS,932,587,94,11461511871059744783,images/train/aadhaar/P000002_aadhaar_C4_clean.jpg
P000002_aadhaar_C4_mild,P000002_aadhaar_C4,P000002,train,aadhaar,C4,,1,mild,0,mononymic,mononym,aadhaar_number,"fabricated payload, valid check digit",,,PASS,PASS,PASS,755,476,75,10308563995354290191,images/train/aadhaar/P000002_aadhaar_C4_mild.jpg
P000002_aadhaar_C4_severe,P000002_aadhaar_C4,P000002,train,aadhaar,C4,,1,severe,0,mononymic,mononym,aadhaar_number,"fabricated payload, valid check digit",,,PASS,PASS,PASS,697,439,61,11487389976724940973,images/train/aadhaar/P000002_aadhaar_C4_severe.jpg
P000002_pan_C00_clean,P000002_pan_C00,P000002,train,pan,C0,0,0,clean,0,mononymic,mononym,,,,,PASS,PASS,PASS,996,628,90,15725766509880236717,images/train/pan/P000002_pan_C00_clean.jpg
P000002_pan_C00_mild,P000002_pan_C00,P000002,train,pan,C0,0,0,mild,0,mononymic,mononym,,,,,PASS,PASS,PASS,716,451,77,15725766544239970989,images/train/pan/P000002_pan_C00_mild.jpg
P000002_pan_C00_severe,P000002_pan_C00,P000002,train,pan,C0,0,0,severe,0,mononymic,mononym,,,,,PASS,PASS,PASS,616,388,48,15739277274134694589,images/train/pan/P000002_pan_C00_severe.jpg
P000002_pan_C01_clean,P000002_pan_C01,P000002,train,pan,C0,1,0,clean,0,mononymic,mononym,,,,,PASS,PASS,PASS,952,600,95,15725766509880236717,images/train/pan/P000002_pan_C01_clean.jpg
P000002_pan_C01_mild,P000002_pan_C01,P000002,train,pan,C0,1,0,mild,0,mononymic,mononym,,,,,PASS,PASS,PASS,859,541,82,11114080525813107373,images/train/pan/P000002_pan_C01_mild.jpg
P000002_pan_C01_severe,P000002_pan_C01,P000002,train,pan,C0,1,0,severe,0,mononymic,mononym,,,,,PASS,PASS,PASS,649,409,57,13410916266654124717,images/train/pan/P000002_pan_C01_severe.jpg
P000002_pan_C1_clean,P000002_pan_C1,P000002,train,pan,C1,,1,clean,0,mononymic,mononym,,,resample_patch,dob,PASS,PASS,PASS,967,610,92,15725766509880236717,images/train/pan/P000002_pan_C1_clean.jpg
P000002_pan_C1_mild,P000002_pan_C1,P000002,train,pan,C1,,1,mild,0,mononymic,mononym,,,resample_patch,dob,PASS,PASS,PASS,710,448,78,11109576891826002621,images/train/pan/P000002_pan_C1_mild.jpg
P000002_pan_C1_severe,P000002_pan_C1,P000002,train,pan,C1,,1,severe,0,mononymic,mononym,,,resample_patch,dob,PASS,FAIL,PASS,626,395,52,11114080490915977981,images/train/pan/P000002_pan_C1_severe.jpg
P000002_pan_C2_clean,P000002_pan_C2,P000002,train,pan,C2,,1,clean,0,mononymic,mononym,pan_number,category,,,FAIL,FAIL,FAIL,933,588,90,15725766509880236717,images/train/pan/P000002_pan_C2_clean.jpg
P000002_pan_C2_mild,P000002_pan_C2,P000002,train,pan,C2,,1,mild,0,mononymic,mononym,pan_number,category,,,FAIL,FAIL,FAIL,845,533,74,15725766544239970989,images/train/pan/P000002_pan_C2_mild.jpg
P000002_pan_C2_severe,P000002_pan_C2,P000002,train,pan,C2,,1,severe,0,mononymic,mononym,pan_number,category,,,FAIL,FAIL,FAIL,625,394,55,14572845039616346813,images/train/pan/P000002_pan_C2_severe.jpg
P000002_pan_C3_clean,P000002_pan_C3,P000002,train,pan,C3,,1,clean,0,mononymic,mononym,pan_number,"p5 N->R, name initials {N}",,,FAIL,FAIL,FAIL,944,595,94,15725766509880756909,images/train/pan/P000002_pan_C3_clean.jpg
P000002_pan_C3_mild,P000002_pan_C3,P000002,train,pan,C3,,1,mild,0,mononymic,mononym,pan_number,"p5 N->R, name initials {N}",,,FAIL,FAIL,FAIL,857,540,76,15721262910252866237,images/train/pan/P000002_pan_C3_mild.jpg
P000002_pan_C3_severe,P000002_pan_C3,P000002,train,pan,C3,,1,severe,0,mononymic,mononym,pan_number,"p5 N->R, name initials {N}",,,FAIL,FAIL,FAIL,589,371,57,15734844112071117485,images/train/pan/P000002_pan_C3_severe.jpg
P000002_pan_C4_clean,P000002_pan_C4,P000002,train,pan,C4,,1,clean,0,mononymic,mononym,pan_number,"fabricated identifier, valid format, category and cross-field consistency",,,PASS,PASS,PASS,964,608,95,15725766509880756909,images/train/pan/P000002_pan_C4_clean.jpg
P000002_pan_C4_mild,P000002_pan_C4,P000002,train,pan,C4,,1,mild,0,mononymic,mononym,pan_number,"fabricated identifier, valid format, category and cross-field consistency",,,PASS,PASS,PASS,767,483,72,15725766509880232637,images/train/pan/P000002_pan_C4_mild.jpg
P000002_pan_C4_severe,P000002_pan_C4,P000002,train,pan,C4,,1,severe,0,mononymic,mononym,pan_number,"fabricated identifier, valid format, category and cross-field consistency",,,PASS,FAIL,PASS,530,334,49,11100569727069407838,images/train/pan/P000002_pan_C4_severe.jpg
P000003_aadhaar_C00_clean,P000003_aadhaar_C00,P000003,val,aadhaar,C0,0,0,clean,1,surname_last,surname,,,,,PASS,PASS,PASS,952,600,94,15152964945028470379,images/val/aadhaar/P000003_aadhaar_C00_clean.jpg
